Price,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS
Date,,,,,
2018-09-28,192.66307067871094,195.3780771636326,192.28502831610476,193.96043141394276,3097800
2018-10-01,193.59963989257812,195.54138808024598,193.3161080275938,194.36431197326155,2451300
2018-10-02,194.23541259765625,194.45879534933624,192.43112393149553,193.5566510162559,2272700
2018-10-03,195.70457458496094,197.41435235539092,194.6735582818722,195.67880016063998,2573900
2018-10-04,195.4468536376953,198.8148478471885,193.6511651550725,196.97619761266705,2903600
2018-10-05,193.92616271972656,196.24595374339768,192.63738847212153,195.89368563596415,1722400
2018-10-08,193.6167755126953,194.96568517790908,191.1681002208885,192.68025665356726,2522900
2018-10-09,191.5204315185547,193.41921806996697,191.1939378756506,193.30753322641172,1862900
2018-10-10,184.62977600097656,192.14762487527074,184.34624412736403,191.80395702790963,3955500
2018-10-11,182.9801025390625,185.6091989556067,181.24455017588622,184.03689336902764,6217400
2018-10-12,183.75338745117188,187.28462863423107,181.68276724759681,186.44263331588684,4161300
2018-10-15,184.91326904296875,186.56289796203987,183.04884448688185,184.25169481013623,3333800
2018-10-16,190.48072814941406,190.73848548154075,185.84114861146364,188.46165745293374,5924200
2018-10-17,196.1342315673828,196.66692066207074,189.0631614059346,189.4755654434321,4953700
2018-10-18,193.27316284179688,196.5208726863137,192.33665676236552,195.46408154264427,2995400
2018-10-19,195.00009155273438,196.15139310736654,192.62015204465916,193.53947062303115,2759100
2018-10-22,190.39486694335938,196.64111492537052,190.3261307630374,194.9742986052988,2736800
2018-10-23,187.78292846679688,188.60774945001197,184.14000299198256,186.09033786266485,3318200
2018-10-24,179.72386169433594,188.1008944549966,179.05370012229028,187.4221457741108,4152700
2018-10-25,183.8736572265625,185.3170907625099,180.7204587654635,181.51950537341855,3179700
2018-10-26,182.45602416992188,184.55243188862758,180.02453574929757,181.0555522851943,3557900
2018-10-29,184.28607177734375,187.48223194524562,182.1896642360226,183.993939743654,3278200
2018-10-30,188.40158081054688,189.3209125894775,184.75864145445212,185.57487550493727,3897400
2018-10-31,193.63401794433594,196.7528556150341,190.2230612763512,190.64406555603276,4369600
2018-11-01,195.00869750976562,196.6497396051245,193.71992346609713,193.9690806794345,2557600
2018-11-02,197.345703125,199.06406875717715,194.4244736842452,197.61204770037315,3699000
2018-11-05,196.51226806640625,198.55712708631899,194.9915110175599,196.16860023066235,2565200
2018-11-06,196.0654754638672,197.19960283941415,195.0774206737267,196.05688835711425,2275600
2018-11-07,198.71176147460938,200.01772276838244,194.9485372869371,197.65497049002116,3514300
2018-11-08,199.0296630859375,201.1002964964432,198.12753175770484,198.47119958654707,2404800
2018-11-09,191.29702758789062,199.06404672743164,190.99632150159135,199.06404672743164,3721700
2018-11-12,177.03456115722656,191.00486423561838,176.24411481074546,190.73851975159684,11019400
2018-11-13,176.17539978027344,180.07608312716573,173.83842199276643,175.61692320828223,6984800
2018-11-14,173.97584533691406,178.14287202562676,170.49615406607535,177.19777927100867,5742500
2018-11-15,175.04986572265625,175.7028397718596,171.2522802455408,173.3830493993339,4260000
